2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
101-150;101-150;Lund University;Sweden;59,7;63,9;80,7;76,3;
101-150;51-100;McMaster University;Canada;67,3;60,1;87,9;73,7;
101-150;101-150;Middle East Technical University;Turkey;62,2;68,6;75,5;77,1;
101-150;101-150;Nanjing University;China (Mainland);61,8;56,2;81;76,3;
101-150;151-200;National Cheng Kung University (NCKU);Taiwan;61,7;67,9;98,4;59,8;
101-150;101-150;Newcastle University;United Kingdom;61,5;58,9;84,5;78,6;
101-150;101-150;Pontificia Universidad Católica de Chile (UC);Chile;66,6;78,8;73,1;66,4;
101-150;101-150;Queensland University of Technology (QUT);Australia;66,1;63,6;84,5;73,7;
101-150;101-150;Rutgers University–New Brunswick;United States;60;60,6;85,3;79,4;
101-150;101-150;RWTH Aachen University;Germany;68,1;64,3;77,2;71,8;
101-150;101-150;Technion - Israel Institute of Technology;Israel;67,8;58,3;84,2;74,6;
101-150;101-150;Technische Universität Wien;Austria;68,9;59;72,2;69,8;
101-150;101-150;The Ohio State University;United States;57,3;70,6;86,3;82,2;
101-150;101-150;The University of Auckland;New Zealand;65,1;74,5;82;76,3;
101-150;101-150;Tilburg University;Netherlands;61,8;76;78,6;74,6;
101-150;151-200;Tongji University;China (Mainland);60;52,4;85;79,4;
101-150;101-150;Universidade Estadual de Campinas (Unicamp);Brazil;67,5;72;69,7;65,2;
101-150;101-150;Universidade Federal do Rio de Janeiro;Brazil;66,4;62,8;71,7;69,8;
101-150;101-150;Université de Paris-Cité;France;57,7;60,8;85,3;90,6;
101-150;101-150;Universite libre de Bruxelles;Belgium;62,6;65,2;84,5;77,9;
101-150;101-150;University College Dublin;Ireland;59,7;69,8;82,2;75,4;
101-150;51-100;University of Bath;United Kingdom;60,8;66,2;86,4;78,6;
101-150;101-150;University of Florida;United States;66,6;63;85,4;77,9;
101-150;101-150;University of Glasgow;United Kingdom;64,8;69,8;77,6;68,7;
101-150;101-150;University of Göttingen;Germany;64,5;48,2;85,4;75,4;
101-150;101-150;University of Groningen;Netherlands;62,4;71,5;83,5;76,3;
101-150;151-200;University of Helsinki;Finland;55,1;59,2;89,9;80,8;
101-150;101-150;University of Iowa;United States;56;60,2;93,1;76,3;
101-150;101-150;University of Leeds;United Kingdom;57;63,7;90,3;83,5;
101-150;101-150;University of Lisbon ;Portugal;64,4;47,6;82,4;77,9;
101-150;101-150;University of Maryland, College Park;United States;58,2;71,8;87,5;85,3;
101-150;101-150;University of Nottingham;United Kingdom;57,4;68,4;89,4;84,7;
101-150;101-150;University of Technology Sydney;Australia;59,1;69,2;84,9;77,1;
101-150;51-100;University of Zurich;Switzerland;61,5;61,9;91,9;81,5;
101-150;51-100;Utrecht University;Netherlands;60,7;68,4;89,3;82,8;
101-150;101-150;Vrije Universiteit Amsterdam;Netherlands;67,2;67,4;80,9;75,4;
151-200;151-200;Beihang University (former BUAA);China (Mainland);51,6;48,7;83,8;80,8;
151-200;201-230;Beijing Institute of Technology;China (Mainland);51,8;64,4;80,2;78,6;
151-200;151-200;Cairo University;Egypt;59,3;72,7;67,6;69,8;
151-200;151-200;Cardiff University;United Kingdom;54,9;61;84,9;77,1;
151-200;151-200;Ghent University;Belgium;51,4;50,9;86,2;80,8;
151-200;151-200;Harbin Institute of Technology;China (Mainland);54,1;51,2;83;77,1;
151-200;201-230;IMT Atlantique;France;54,8;76,8;82;71,8;
151-200;151-200;Indiana University Bloomington;United States;50,1;61,3;94;78,6;
151-200;151-200;King Fahd University of Petroleum & Minerals;Saudi Arabia;62,8;67,2;71,8;67,6;
151-200;151-200;Leiden University;Netherlands;57;63,3;80,3;77,1;
151-200;151-200;Nankai University;China (Mainland);55,7;43,8;82,3;78,6;
