2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
101-150;101-150;Lomonosov Moscow State University;Russia;68;79,8;45,4;43;
101-150;101-150;Luiss Guido Carli University;Italy;63;80,2;67,1;72,2;
101-150;101-150;Michigan State University;United States;65,5;67,4;83,6;77,5;
101-150;101-150;Oxford Brookes University;United Kingdom;68,4;73,5;58,8;55,7;
101-150;101-150;Purdue University;United States;60,9;71,7;81,4;73,4;
101-150;101-150;Queen's University at Kingston;Canada;66,3;72,2;71,9;73,4;
101-150;98=;RMIT University;Australia;64;67;79;89,7;
101-150;101-150;Sungkyunkwan University(SKKU);South Korea;67,9;69;72,7;76,5;
101-150;151-200;Taylor's University;Malaysia;67;70;67,7;55,7;
101-150;101-150;The University of Adelaide;Australia;64,1;64,9;72,5;76,5;
101-150;101-150;The University of Exeter;United Kingdom;59,3;66,4;81,3;82,7;
101-150;101-150;The University of Sheffield;United Kingdom;61,4;65,8;82,2;81;
101-150;101-150;The University of Western Australia;Australia;64,9;64,2;84;81,9;
101-150;100;Universidad de Chile;Chile;68,6;77,8;58,3;57,6;
101-150;101-150;Universidad Nacional de Colombia;Colombia;69,7;75,6;44,5;55,7;
101-150;101-150;Universidade Nova de Lisboa;Portugal;69,3;59,6;80,4;79,3;
101-150;151-200;Universitas Indonesia;Indonesia;67,1;72,6;52,6;55,7;
101-150;101-150;University College Dublin;Ireland;63,6;67,3;91,4;81;
101-150;151-200;University of Bath;United Kingdom;58,8;69,7;77,9;80,2;
101-150;101-150;University of Bristol;United Kingdom;63,2;72,3;71,8;79,3;
101-150;101-150;University of California, San Diego (UCSD);United States;67,5;67,2;75,1;73,4;
101-150;101-150;University of Florida;United States;67,9;62,2;82,5;81;
101-150;151-200;University of Illinois at Chicago (UIC);United States;65,8;62,3;75,9;77,5;
101-150;101-150;University of Lausanne;Switzerland;71,2;57,2;74,9;76,5;
101-150;90=;University of Leeds;United Kingdom;64,9;71,6;79,8;80,2;
101-150;101-150;University of Maryland, College Park;United States;64,6;60;83,5;82,7;
101-150;101-150;University of Minnesota Twin Cities;United States;66,1;60,2;86,3;79,3;
101-150;101-150;University of Nottingham;United Kingdom;62,3;70;80,2;81;
101-150;101-150;University of Pretoria;South Africa;56,7;64,9;87,4;97,7;
101-150;101-150;University of Reading;United Kingdom;61,9;63;84;88,4;
101-150;101-150;University of Southampton;United Kingdom;65,6;65,8;88,6;85;
101-150;101-150;University of Waterloo;Canada;64;70,5;79,6;76,5;
