2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
201-250;201-240;Universitas Indonesia;Indonesia;67,8;78,1;71,5;57,3;
201-250;151-200;Universität Mannheim;Germany;58,2;63,5;84,6;75,2;
201-250;101-150;Université PSL;France;65;82,6;68,8;63,3;
201-250;;Universiti Utara Malaysia (UUM);Malaysia;60,9;60;78,7;69;
201-250;151-200;University at Buffalo SUNY;United States;55,4;53,3;86;75,2;
201-250;201-240;University of Alberta;Canada;60,2;71,8;78,2;68;
201-250;;University of Calgary;Canada;59,2;73,5;80,2;63,3;
201-250;201-240;University of Canterbury | Te Whare W_nanga o Waitaha;New Zealand;64,5;66,7;72,2;61,9;
201-250;;University of Cologne;Germany;60,4;59,7;78,3;68;
201-250;;University of Geneva;Switzerland;66,3;65,9;75;61,9;
201-250;151-200;University of Kentucky;United States;56,3;53,8;89,5;78,1;
201-250;201-240;University of Massachusetts Boston;United States;53,7;55;86,3;76;
201-250;151-200;University of Milan;Italy;64,6;66,5;74,7;65,8;
201-250;151-200;University of Oklahoma;United States;61,3;54,5;85,1;73,6;
201-250;151-200;University of Otago;New Zealand;62,5;69,2;79,7;69;
201-250;151-200;University of Pittsburgh;United States;65,6;52,9;79,7;68;
201-250;;University of South Florida;United States;54,8;53,9;88,2;74,4;
201-250;;University of Tartu;Estonia;66,5;58,6;67,9;63,3;
201-250;201-240;University of Waikato;New Zealand;61,8;59,7;81,1;66,9;
201-250;201-240;University of York;United Kingdom;64,1;65,4;79,2;64,6;
201-250;151-200;Victoria University of Wellington;New Zealand;64,6;66,8;78,6;64,6;
201-250;201-240;Waseda University;Japan;68,7;81,1;72,7;53,6;
201-250;201-240;Western University;Canada;57,4;73,4;86,8;71;
